id,brand,kind,title,content,tags,assetLink,assetLinkArchive
clkjqtpv01appfi99w22,mccray,asset,Facebook cover photo,1640x624 cover photo (current build).,,C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\fb-cover-linkstyle.png,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\fb-cover-linkstyle.png
s1lfdo8n96pizowmv7s6,mccray,asset,Facebook Page setup assets,"facebook-kit/fb-profile.png (500x500 profile picture)
facebook-kit/fb-cover.png or fb-cover-linkstyle.png (1640x624 cover photo)
facebook-kit/fb-link-share.png (1200x630 Open Graph / link preview)
facebook-kit/fb-story.png (1080x1920 Story template)",,,
ia81d76wf44qgar0uh7t,mccray,asset,Facebook profile picture,500x500 profile picture.,,C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\fb-profile.png,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\fb-profile.png
aqermbszp5zmrbg1l48n,mccray,asset,Link-share preview image,1200x630 Open Graph / link preview.,,C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\fb-link-share.png,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\fb-link-share.png
m8p9m561zmmryg97jyig,mccray,asset,Story template,1080x1920 Story template.,,C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\fb-story.png,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\fb-story.png
j6xo8a6btnugcxtdl71l,mccray,caption,Gameplay Reel (grown-ups),"This one's not for your kid. It's for you. 🍎

Your child comes home deflated. What do you say first? The Grown-Up stories put you in the choice seat, and if the first thing you'd say isn't the one that helps, you just… try again. No judgment, no lecture.

Practice the hard conversations before you're in one. The Grown-Up series is part of the Lab membership; the six free stories show you exactly how it feels.
▶️ mccraylearninglab.com (IG: link in bio)",,,
3nafzsptkuczz2p4ipf0,mccray,card,Card 1 — Train Like a Champion,"Moment: When they say 'I can't'
Say: ""Add one little word. I can't win… YET.""",,C:\Users\ellas\Downloads\Daily Lessons for Kids\marketing\script-cards\mccray\output\mccray-01.png,F:\Sanders Learning Archive\01-Sanders-Learning\daily-lessons-for-kids\marketing\script-cards\mccray\output\mccray-01.png
afvx3yeja27r49genfc0,mccray,card,Card 10 — The Empty Seat,"Moment: When nobody makes room for the new kid
Say: ""My words can open a seat.""",,C:\Users\ellas\Downloads\Daily Lessons for Kids\marketing\script-cards\mccray\output\mccray-10.png,F:\Sanders Learning Archive\01-Sanders-Learning\daily-lessons-for-kids\marketing\script-cards\mccray\output\mccray-10.png
ppnc1i0tm01maaqbolai,mccray,card,"Card 11 — Room for Me, Room for You","Moment: When you're the new kid at lunch
Say: ""I found my place — and made room.""",,C:\Users\ellas\Downloads\Daily Lessons for Kids\marketing\script-cards\mccray\output\mccray-11.png,F:\Sanders Learning Archive\01-Sanders-Learning\daily-lessons-for-kids\marketing\script-cards\mccray\output\mccray-11.png
hnupgr2tn047jpmxlcvg,mccray,card,Card 12 — Room for Everyone,"Moment: When a classmate does things differently
Say: ""A different mind can be a gift.""",,C:\Users\ellas\Downloads\Daily Lessons for Kids\marketing\script-cards\mccray\output\mccray-12.png,F:\Sanders Learning Archive\01-Sanders-Learning\daily-lessons-for-kids\marketing\script-cards\mccray\output\mccray-12.png
